model,score
claude-fable-5,0.63
claude-opus-4-8,0.42
gpt-5.5,0.23
gpt-5.4,0.22
claude-sonnet-4-6,0.13
gemini-3.1-pro-preview,0.12
gemini-3.5-flash,0.04
deepseek-reasoner,0.03
